cores,input,average_runtime,speedup,efficiency,mem_ram,freq_mem,freq_cpu,mem_l3
4,0,5.058870553970337,3.0079655003871397,0.7519913750967849,128,2133,2.3,40
3,0,6.1729243993759155,2.465105209907574,0.821701736635858,128,2133,2.3,40
2,0,8.378608345985413,1.816161762061392,0.908080881030696,128,2133,2.3,40
1,0,15.21690809726715,1.0,1.0,128,2133,2.3,40
32,0,7.8809897899627686,1.9308371794425379,0.06033866185757931,128,2133,2.3,40
31,0,7.976619720458984,1.9076887993341058,0.061538348365616315,128,2133,2.3,40
30,0,8.121041893959045,1.8737630338524012,0.06245876779508004,128,2133,2.3,40
29,0,8.189675450325012,1.858059967036088,0.064071033346072,128,2133,2.3,40
28,0,8.216408014297485,1.8520146602734429,0.06614338072405153,128,2133,2.3,40
27,0,8.31854784488678,1.8292745778484203,0.06775091029068224,128,2133,2.3,40
26,0,8.28089451789856,1.8375923113592252,0.0706766273599702,128,2133,2.3,40
25,0,8.471998810768127,1.796141434524999,0.07184565738099996,128,2133,2.3,40
24,0,8.51045310497284,1.788025609162406,0.07450106704843358,128,2133,2.3,40
23,0,8.486574053764343,1.7930566564157264,0.07795898506155333,128,2133,2.3,40
22,0,8.738383889198303,1.7413869990396147,0.07915395450180067,128,2133,2.3,40
21,0,8.447610974311829,1.8013268063053498,0.08577746696692141,128,2133,2.3,40
20,0,8.648744106292725,1.7594355793456193,0.08797177896728096,128,2133,2.3,40
19,0,8.742615818977356,1.74054406739871,0.09160758249466895,128,2133,2.3,40
18,0,9.017465233802795,1.687492848902281,0.09374960271679339,128,2133,2.3,40
17,0,8.958064317703247,1.6986826124026542,0.09992250661192083,128,2133,2.3,40
16,0,9.228725671768188,1.6488634117511534,0.10305396323444709,128,2133,2.3,40
15,0,9.57449722290039,1.5893166756444588,0.10595444504296392,128,2133,2.3,40
14,0,9.916856527328491,1.5344487494936507,0.10960348210668934,128,2133,2.3,40
13,0,10.308632254600525,1.4761325965892484,0.11354866127609603,128,2133,2.3,40
12,0,10.76218831539154,1.413923233019877,0.11782693608498974,128,2133,2.3,40
11,0,11.133293867111206,1.3667929975529816,0.12425390886845288,128,2133,2.3,40
10,0,11.728406548500061,1.297440367055935,0.12974403670559348,128,2133,2.3,40
9,0,12.583759069442749,1.2092497967653004,0.1343610885294778,128,2133,2.3,40
8,0,13.280507683753967,1.1458077100382225,0.1432259637547778,128,2133,2.3,40
7,0,14.462864756584167,1.0521365132962133,0.1503052161851733,128,2133,2.3,40
6,0,15.944444060325623,0.9543705656775584,0.15906176094625973,128,2133,2.3,40
5,0,18.192383885383606,0.8364438763571246,0.1672887752714249,128,2133,2.3,40
4,0,21.04906177520752,0.7229257180094494,0.18073142950236235,128,2133,2.3,40
3,0,26.56217896938324,0.5728787579816716,0.19095958599389054,128,2133,2.3,40
2,0,37.917099714279175,0.40132046522367915,0.20066023261183957,128,2133,2.3,40
1,0,70.60039615631104,0.2155357324564658,0.2155357324564658,128,2133,2.3,40
32,0,39.602158069610596,0.3842444159361131,0.012007637998003534,128,2133,2.3,40
31,0,38.90859532356262,0.39109374087457627,0.012615927124986331,128,2133,2.3,40
30,0,38.81299591064453,0.39205703502763845,0.013068567834254615,128,2133,2.3,40
