cores,input,average_runtime
30,2,0.3670055866241455
30,2,0.36233019828796387
30,2,0.36681365966796875
30,2,0.369692325592041
30,2,0.3514530658721924
30,2,0.362015962600708
30,2,0.363039493560791
30,3,0.5033144950866699
30,3,0.4845590591430664
30,3,0.49376893043518066
30,3,0.4780924320220947
30,3,0.4987678527832031
30,3,0.48053789138793945
30,3,0.500239372253418
30,3,0.47740936279296875
30,3,0.4850292205810547
30,3,0.4998619556427002
30,4,0.7052133083343506
30,4,0.7027003765106201
30,4,0.697136402130127
30,4,0.6945524215698242
30,4,0.7186684608459473
30,4,0.7051701545715332
30,4,0.7294661998748779
30,4,0.7123692035675049
30,4,0.7148089408874512
30,4,0.7213339805603027
30,5,0.9784443378448486
30,5,0.9935095310211182
30,5,0.9718017578125
30,5,0.9890346527099609
30,5,0.9802355766296387
30,5,0.956669807434082
30,5,0.9691300392150879
30,5,0.9815146923065186
30,5,0.9702608585357666
30,5,0.9700937271118164
30,6,1.7876684665679932
30,6,1.7946157455444336
30,6,1.78794264793396
30,6,1.7899296283721924
30,6,1.8005554676055908
30,6,1.7841110229492188
30,6,1.7966656684875488
30,6,1.7788763046264648
30,6,1.784132957458496
30,6,1.7926216125488281
30,7,6.00469446182251
30,7,5.393412351608276
30,7,5.483145475387573
30,7,5.470681190490723
30,7,5.593835115432739
30,7,5.47384238243103
30,7,5.478559494018555
30,7,5.486703157424927
30,7,5.531639099121094
30,7,5.47957968711853
30,8,12.568642139434814
30,8,11.048309803009033
30,8,11.070116758346558
30,8,11.137455701828003
30,8,10.995086193084717
30,8,11.004342317581177
30,8,11.094797134399414
30,8,11.077728986740112
30,8,11.121165037155151
30,8,11.29975962638855
30,9,22.515710830688477
30,9,22.618515253067017
30,9,22.17585325241089
30,9,21.944249629974365
30,9,21.90877628326416
30,9,21.95617985725403
30,9,22.092620372772217
30,9,22.237142086029053
30,9,22.44121026992798
30,9,21.742250680923462
29,0,0.12097024917602539
29,0,0.11877274513244629
29,0,0.11923789978027344
29,0,0.12137484550476074
29,0,0.12055063247680664
29,0,0.11976313591003418
29,0,0.11840653419494629
29,0,0.12032842636108398
29,0,0.12087178230285645
29,0,0.11994600296020508
29,1,0.23815155029296875
29,1,0.2397627830505371
29,1,0.2388763427734375
29,1,0.23943710327148438
29,1,0.2396695613861084
29,1,0.2395153045654297
29,1,0.2440030574798584
29,1,0.23847174644470215
29,1,0.24114203453063965
29,1,0.23818325996398926
29,2,0.3607950210571289
29,2,0.345858097076416
29,2,0.36280012130737305
29,2,0.35806941986083984
29,2,0.3566606044769287
29,2,0.363361120223999
29,2,0.350985050201416
29,2,0.3570113182067871
29,2,0.3530430793762207
29,2,0.35165953636169434
29,3,0.4967656135559082
29,3,0.4978945255279541
29,3,0.47992706298828125
29,3,0.49382638931274414
29,3,0.49874186515808105
29,3,0.48096656799316406
29,3,0.4873993396759033
29,3,0.4940946102142334
29,3,0.4970433712005615
29,3,0.4932820796966553
29,4,0.7168030738830566
29,4,0.7192513942718506
29,4,0.726057767868042
29,4,0.720905065536499
29,4,0.6994991302490234
29,4,0.7246637344360352
29,4,0.7039961814880371
29,4,0.717188835144043
29,4,0.7242431640625
29,4,0.711444616317749
29,5,0.97100830078125
29,5,0.9687190055847168
29,5,0.9941177368164062
29,5,0.9960825443267822
29,5,0.9927842617034912
29,5,0.9959101676940918
29,5,0.9770755767822266
29,5,0.9823601245880127
29,5,0.961353063583374
29,5,0.9797124862670898
29,6,1.8121082782745361
29,6,1.7809622287750244
29,6,1.8199784755706787
29,6,1.7873852252960205
29,6,1.8090929985046387
29,6,1.8034558296203613
29,6,1.8109099864959717
29,6,1.7999658584594727
29,6,1.8112914562225342
29,6,1.8086464405059814
29,7,5.6964545249938965
29,7,5.911444664001465
29,7,5.74196982383728
29,7,5.669315338134766
29,7,5.645995378494263
29,7,5.602595090866089
29,7,5.67887020111084
29,7,5.666834115982056
29,7,6.177428722381592
29,7,5.655147552490234
29,8,11.780977487564087
29,8,11.718545198440552
29,8,12.252710342407227
29,8,11.209895610809326
29,8,11.378298997879028
29,8,11.2619469165802
29,8,11.344384908676147
29,8,11.353085994720459
29,8,14.867571830749512
29,8,11.884815454483032
29,9,23.686156511306763
29,9,23.062798023223877
29,9,24.139942407608032
29,9,22.503381729125977
29,9,24.35144329071045
29,9,23.356462240219116
29,9,23.624256372451782
29,9,22.755845308303833
29,9,22.903501749038696
29,9,23.13554859161377
28,0,0.11900591850280762
28,0,0.11992669105529785
28,0,0.12010312080383301
28,0,0.12177896499633789
28,0,0.11766958236694336
28,0,0.11910891532897949
28,0,0.12047696113586426
28,0,0.11891865730285645
28,0,0.11925768852233887
28,0,0.11928534507751465
28,1,0.24042296409606934
28,1,0.24092364311218262
28,1,0.24273204803466797
28,1,0.23828744888305664
28,1,0.24036431312561035
28,1,0.23784661293029785
28,1,0.23780488967895508
28,1,0.23904085159301758
28,1,0.24114370346069336
28,1,0.23795247077941895
28,2,0.362473726272583
28,2,0.35845398902893066
28,2,0.3581349849700928
28,2,0.34914493560791016
28,2,0.3489549160003662
28,2,0.34793829917907715
28,2,0.35836362838745117
28,2,0.3841123580932617
28,2,0.35900235176086426
28,2,0.35849833488464355
28,3,0.4796578884124756
28,3,0.47893404960632324
28,3,0.485243558883667
28,3,0.49814605712890625
28,3,0.49800753593444824
28,3,0.4830608367919922
28,3,0.49592018127441406
28,3,0.49976301193237305
28,3,0.4839465618133545
28,3,0.49756407737731934
28,4,0.7298178672790527
28,4,0.7200992107391357
28,4,0.7241098880767822
28,4,0.7229301929473877
28,4,0.7209775447845459
28,4,0.7111411094665527
28,4,0.7112436294555664
28,4,0.7110569477081299
28,4,0.7142612934112549
28,4,0.7239789962768555
28,5,0.9795982837677002
28,5,0.9776053428649902
28,5,1.0420877933502197
28,5,0.9856870174407959
28,5,0.9923257827758789
28,5,0.9902985095977783
28,5,1.0020942687988281
28,5,1.0076110363006592
28,5,0.9710428714752197
28,5,0.978644847869873
28,6,1.845491647720337
28,6,1.825958251953125
28,6,1.8303496837615967
28,6,1.8485493659973145
28,6,1.8388772010803223
28,6,1.8190548419952393
28,6,1.8324041366577148
28,6,1.8545331954956055
28,6,1.8699884414672852
28,6,1.8365025520324707
28,7,5.782946586608887
28,7,5.6925036907196045
28,7,5.77652645111084
28,7,6.427632093429565
28,7,5.7342164516448975
28,7,6.375915765762329
28,7,5.719948768615723
28,7,5.727819204330444
28,7,5.8531293869018555
28,7,5.644267559051514
28,8,11.52200198173523
28,8,11.515398979187012
28,8,11.541813135147095
28,8,13.044139385223389
28,8,11.518612146377563
28,8,11.499456882476807
28,8,11.877818584442139
28,8,11.877223253250122
28,8,11.526637077331543
28,8,11.539752006530762
28,9,23.558688402175903
28,9,23.420518159866333
28,9,26.337443590164185
28,9,23.4355685710907
28,9,23.307934999465942
28,9,23.358724355697632
28,9,23.81774401664734
28,9,23.184016227722168
28,9,26.065316438674927
28,9,24.944212675094604
27,0,0.11975383758544922
27,0,0.11818242073059082
27,0,0.11940693855285645
27,0,0.12023568153381348
27,0,0.11933040618896484
27,0,0.11870574951171875
27,0,0.1202080249786377
27,0,0.11995339393615723
27,0,0.11711764335632324
27,0,0.12008094787597656
27,1,0.23865914344787598
27,1,0.2374427318572998
27,1,0.24500012397766113
27,1,0.23550653457641602
27,1,0.2369823455810547
27,1,0.23656892776489258
27,1,0.24010491371154785
27,1,0.23813700675964355
27,1,0.23653292655944824
27,1,0.23774242401123047
27,2,0.35123133659362793
27,2,0.359222412109375
27,2,0.3466973304748535
27,2,0.35404491424560547
27,2,0.3474595546722412
27,2,0.35500597953796387
27,2,0.34795641899108887
27,2,0.3530881404876709
27,2,0.3573744297027588
27,2,0.35295772552490234
27,3,0.4887516498565674
27,3,0.47827696800231934
27,3,0.47919154167175293
27,3,0.4982874393463135
27,3,0.49202704429626465
27,3,0.49986767768859863
27,3,0.49770426750183105
27,3,0.4915447235107422
27,3,0.490673303604126
27,3,0.49667787551879883
27,4,0.7200138568878174
