cores,input,average_runtime,speedup,efficiency
19,1,0.22469580173492432,1.122025481660685,0.05905397271898342
18,1,0.22217094898223877,1.1347766948095326,0.0630431497116407
17,1,0.2216860055923462,1.1372590457169867,0.06689759092452863
16,1,0.21963965892791748,1.14785470164795,0.07174091885299687
15,1,0.21951031684875488,1.1485310521531065,0.0765687368102071
14,1,0.2184232473373413,1.154247170308694,0.08244622645062101
13,1,0.21716845035552979,1.1609163981048898,0.08930126139268382
12,1,0.216058611869812,1.1668797322491173,0.09723997768742644
11,1,0.21409821510314941,1.1775643017261828,0.10705130015692571
10,1,0.21211934089660645,1.1885498705733326,0.11885498705733326
9,1,0.21284854412078857,1.1844779874354734,0.13160866527060816
8,1,0.21206557750701904,1.1888511946754658,0.14860639933443323
7,1,0.2114274501800537,1.1924393684644972,0.1703484812092139
6,1,0.21414852142333984,1.1772876762962534,0.19621461271604224
5,1,0.2142573595046997,1.1766896397471571,0.23533792794943142
4,1,0.21579718589782715,1.1682933404336888,0.2920733351084222
3,1,0.22026467323303223,1.1445975946493885,0.38153253154979616
2,1,0.227516770362854,1.1081135459451132,0.5540567729725566
1,1,0.2521144151687622,1.0,1.0
32,2,0.3630417585372925,1.769355900591545,0.05529237189348578
31,2,0.35918128490448,1.7883729042283336,0.057689448523494634
30,2,0.36268484592437744,1.7710970966871449,0.0590365698895715
29,2,0.3568359613418579,1.8001270814005814,0.062073347634502805
28,2,0.3584088087081909,1.7922273728268703,0.06400812045810252
27,2,0.3530229330062866,1.819570394928565,0.06739149610846537
26,2,0.35051894187927246,1.8325688026592608,0.07048341548689464
25,2,0.350252628326416,1.833962190943089,0.07335848763772355
24,2,0.3488907814025879,1.8411208087721769,0.07671336703217403
23,2,0.3495372533798218,1.837715640945101,0.07990068004109134
22,2,0.35012924671173096,1.834608458624281,0.08339129357383096
21,2,0.3453739881515503,1.8598681419725964,0.08856514961774269
20,2,0.3448941707611084,1.8624555938755323,0.09312277969377661
19,2,0.34564387798309326,1.8584158972447042,0.09781136301287917
18,2,0.34684836864471436,1.8519622281604702,0.10288679045335945
17,2,0.34179651737213135,1.8793347649289533,0.1105491038193502
16,2,0.3416334390640259,1.8802318631013923,0.11751449144383702
15,2,0.3434567451477051,1.8702502912057932,0.12468335274705288
14,2,0.34307754039764404,1.8723174850926512,0.13373696322090364
13,2,0.344319224357605,1.8655655339242803,0.1435050410710985
12,2,0.3442796468734741,1.8657799944391102,0.15548166620325918
11,2,0.34697020053863525,1.8513119473427617,0.16830108612206926
10,2,0.34663939476013184,1.8530786960137176,0.18530786960137174
9,2,0.3513526916503906,1.828220169914771,0.20313557443497457
8,2,0.35246217250823975,1.8224652962271368,0.2278081620283921
7,2,0.3585515022277832,1.7915141162092036,0.2559305880298862
6,2,0.36824822425842285,1.7443399188757853,0.2907233198126309
5,2,0.37899959087371826,1.6948569156717608,0.33897138313435216
4,2,0.39370107650756836,1.6315679990698249,0.4078919997674562
